95
8.928571428571428E-4,	0.03571428571428571,	0.7142857142857142,	0.05,	0.0
0.00446428571428571,	0.07142857142857134,	0.7142857142857125,	0.05,	0.0
0.012499999999999973,	0.16071428571428528,	1.7857142857142787,	0.05,	0.0
0.026785714285714225,	0.28571428571428503,	2.4999999999999947,	0.05,	0.0
0.049107142857142946,	0.44642857142857434,	3.214285714285786,	0.05,	0.0
0.08125000000000138,	0.6428571428571687,	3.9285714285718862,	0.05,	7.431202526783917E-16
0.12500000000000316,	0.875000000000036,	4.642857142857346,	0.05,	1.4862405053567834E-15
0.18125000000000543,	1.1250000000000453,	5.0000000000001865,	0.05,	7.431202526783917E-16
0.2500000000000082,	1.3750000000000562,	5.000000000000218,	0.05,	1.4862405053567834E-15
0.3312500000000115,	1.6250000000000653,	5.000000000000182,	0.05,	2.972481010713567E-15
0.42499999999999055,	1.8749999999995814,	4.999999999990323,	0.05,	2.972481010713567E-15
0.531249999999958,	2.1249999999993485,	4.9999999999953415,	0.05,	0.0
0.6491071428570648,	2.357142857142136,	4.64285714285575,	0.05,	0.0
0.7767857142856455,	2.5535714285716127,	3.9285714285895335,	0.05,	0.0
0.9124999999999838,	2.714285714286766,	3.2142857143030668,	0.05,	0.0
1.0544642857143247,	2.839285714286819,	2.500000000001057,	0.05,	-5.944962021427134E-15
1.200892857142953,	2.928571428572564,	1.785714285714901,	0.05,	-5.944962021427134E-15
1.3500000000001535,	2.9821428571440123,	1.0714285714289673,	0.05,	-5.944962021427134E-15
1.500000000000093,	2.9999999999987903,	0.3571428570955604,	0.05,	-5.944962021427134E-15
1.6499999999999428,	2.999999999996996,	-3.588240815588506E-11,	0.05,	-5.944962021427134E-15
1.799999999999793,	2.999999999997005,	1.7763568394002505E-13,	0.05,	-5.944962021427134E-15
1.949999999999643,	2.999999999996996,	-1.7763568394002505E-13,	0.05,	-5.944962021427134E-15
2.0999999999994925,	2.9999999999969917,	-8.881784197001252E-14,	0.05,	0.0
2.2499999999993423,	2.999999999996996,	8.881784197001252E-14,	0.05,	0.0
2.3999999999991926,	2.999999999997005,	1.7763568394002505E-13,	0.05,	0.0
2.5499999999990424,	2.999999999996996,	-1.7763568394002505E-13,	0.05,	0.0
2.699999999998892,	2.999999999996996,	0.0,	0.05,	0.0
2.8499999999987424,	2.999999999997005,	1.7763568394002505E-13,	0.05,	0.0
2.9999999999985922,	2.999999999996996,	-1.7763568394002505E-13,	0.05,	0.0
3.149999999998442,	2.999999999996996,	0.0,	0.05,	0.0
3.299999999998292,	2.999999999996996,	0.0,	0.05,	0.0
3.449999999998142,	2.999999999997005,	1.7763568394002505E-13,	0.05,	0.0
3.599999999997992,	2.999999999996996,	-1.7763568394002505E-13,	0.05,	0.0
3.7499999999978417,	2.999999999996996,	0.0,	0.05,	0.0
3.8999999999976915,	2.999999999996996,	0.0,	0.05,	0.0
4.049999999997542,	2.999999999997014,	3.552713678800501E-13,	0.05,	0.0
4.1999999999973925,	2.999999999997005,	-1.7763568394002505E-13,	0.05,	0.0
4.349999999997243,	2.999999999997005,	0.0,	0.05,	0.0
4.499999999997092,	2.9999999999969873,	-3.552713678800501E-13,	0.05,	0.0
4.649999999996943,	2.999999999997023,	7.105427357601002E-13,	0.05,	0.0
4.799999999996794,	2.999999999997023,	0.0,	0.05,	0.0
4.949999999996644,	2.9999999999969873,	-7.105427357601002E-13,	0.05,	0.0
5.099999999996494,	2.999999999997005,	3.552713678800501E-13,	0.05,	0.0
5.249999999996344,	2.999999999997005,	0.0,	0.05,	0.0
5.399999999996195,	2.999999999997023,	3.552713678800501E-13,	0.05,	0.0
5.549999999996046,	2.999999999997005,	-3.552713678800501E-13,	0.05,	0.0
5.699999999996123,	3.0000000000015525,	9.094947017729282E-11,	0.05,	0.0
5.849999999996805,	3.0000000000136318,	2.4158453015843406E-10,	0.05,	0.0
5.999999999997488,	3.0000000000136673,	7.105427357601002E-13,	0.05,	0.0
6.149999999998171,	3.0000000000136495,	-3.552713678800501E-13,	0.05,	0.0
6.299999999998855,	3.000000000013685,	7.105427357601002E-13,	0.05,	0.0
6.449999999999537,	3.0000000000136495,	-7.105427357601002E-13,	0.05,	0.0
6.600000000000221,	3.0000000000136673,	3.552713678800501E-13,	0.05,	0.0
6.750000000000902,	3.0000000000136318,	-7.105427357601002E-13,	0.05,	0.0
6.900000000001587,	3.000000000013685,	1.0658141036401503E-12,	0.05,	0.0
7.050000000002269,	3.0000000000136495,	-7.105427357601002E-13,	0.05,	0.0
7.2000000000029525,	3.0000000000136673,	3.552713678800501E-13,	0.05,	0.0
7.350000000003635,	3.0000000000136495,	-3.552713678800501E-13,	0.05,	0.0
7.500000000004319,	3.000000000013685,	7.105427357601002E-13,	0.05,	0.0
7.650000000005001,	3.0000000000136318,	-1.0658141036401503E-12,	0.05,	0.0
7.800000000005684,	3.0000000000136673,	7.105427357601002E-13,	0.05,	0.0
7.950000000006368,	3.000000000013685,	3.552713678800501E-13,	0.05,	0.0
8.100000000007052,	3.0000000000136673,	-3.552713678800501E-13,	0.05,	0.0
8.250000000007734,	3.0000000000136495,	-3.552713678800501E-13,	0.05,	0.0
8.400000000008415,	3.000000000013614,	-7.105427357601002E-13,	0.05,	0.0
8.5500000000091,	3.000000000013685,	1.4210854715202004E-12,	0.05,	0.0
8.700000000009783,	3.000000000013685,	0.0,	0.05,	0.0
8.850000000010466,	3.0000000000136495,	-7.105427357601002E-13,	0.05,	0.0
9.00000000001115,	3.000000000013685,	7.105427357601002E-13,	0.05,	0.0
9.150000000011833,	3.0000000000136495,	-7.105427357601002E-13,	0.05,	0.0
9.300000000012515,	3.0000000000136495,	0.0,	0.05,	0.0
9.450000000013198,	3.0000000000136495,	0.0,	0.05,	0.0
9.600000000013882,	3.000000000013685,	7.105427357601002E-13,	0.05,	0.0
9.750000000014564,	3.0000000000136495,	-7.105427357601002E-13,	0.05,	0.0
9.900000000015247,	3.0000000000136495,	0.0,	0.05,	0.0
10.049514562615004,	2.9902912519951386,	-0.1941749603702192,	0.05,	0.0
10.19716539327005,	2.953016613100914,	-0.7454927778844933,	0.05,	0.0
10.341166777694664,	2.8800276884922837,	-1.4597784921726031,	0.05,	0.0
